title	table	start	end
Food Shipments	shipments	1/1/1988	12/31/2015
Producer Prices - Annual	prices	1/1/1991	12/31/2013
Food Security	security	1/1/1990	12/31/2016
Producer Price Indices - Annual	indices	1/1/1991	12/31/2013
